DB_INSTANCE_NAME;OWNER;TABLE_NAME;TAB_COMMENTS;NUM_ROWS;DUPLICATED;COLUMN_ID;COLUMN_NAME;DATA_TYPE;DATA_LENGTH;NULLABLE;DATA_SCALE;AVG_COL_LEN;NUM_DISTINCT;NUM_NULLS;DEFAULT_ON_NULL;COL_COMMENTS;CONSTRAINTS
exaprod;CONTA_CORRENTE;DEBITO;Tabela para armazenamento da geração de debitos na base de dados da SEFAZ.;91996535;N;17;NUM_DOCUMENTO_ORIGEM;VARCHAR2;50;Y;;18;4277760;697799;NO;"Número do documento no sistema de origem do Débito, definido no campo TIP_ORIGEM_SISTEMA.
Exemplos:
1 - IPVA - Número do Chassi
2 - ITCD - Guia do ITCD
3 - Auto de Infração - Número do Auto de Infração
7 - SISAGUA - Número do Pedido de impressão de selos
8 - COPAF - Sequencial do Parcelamento
9 - SISCOEX - Número da Declaração de Importação (DI)"; (: )
exaprod;CONTA_CORRENTE;DEBITO;Tabela para armazenamento da geração de debitos na base de dados da SEFAZ.;91996535;N;13;NUM_MES_REFERENCIA;NUMBER;22;N;0;3;12;0;NO;Campo com o mês de referencia do débito.;SYS_C001517480 (C: ENABLED)
exaprod;CONTA_CORRENTE;DEBITO;Tabela para armazenamento da geração de debitos na base de dados da SEFAZ.;91996535;N;20;NUM_TERMO_NOTIFICACAO;NUMBER;22;Y;0;2;180;91907273;NO;Número do termo de notificação do débito ao devedor.; (: )
exaprod;CONTA_CORRENTE;DEBITO;Tabela para armazenamento da geração de debitos na base de dados da SEFAZ.;91996535;N;16;NUM_VERSAO;NUMBER;22;Y;0;3;18;0;NO;Campo necessario para controle de concorrencia do hibernate.; (: )
exaprod;CONTA_CORRENTE;DEBITO;Tabela para armazenamento da geração de debitos na base de dados da SEFAZ.;91996535;N;1;SEQ_DEBITO;NUMBER;22;N;0;6;91996535;0;NO;Campo chave primaria da tabela que irá utilizar a sequence SEQ_DEBITO.;PK_DEBITO (PRIMARY KEY: ENABLED)- SYS_C001517475 (C: ENABLED)
exaprod;CONTA_CORRENTE;DEBITO;Tabela para armazenamento da geração de debitos na base de dados da SEFAZ.;91996535;N;19;SEQ_DEBITO_AIX;NUMBER;22;Y;0;2;716480;91275102;NO;Sequencial do Debito no AIX; (: )
exaprod;CONTA_CORRENTE;DEBITO;Tabela para armazenamento da geração de debitos na base de dados da SEFAZ.;91996535;N;2;SEQ_DEBITO_ORIGEM;NUMBER;22;Y;0;2;51564;91934359;NO;Campo para armazenamento do valor da sequence do debito de origem.;FK_DEB_R_DEB (FOREIGN KEY: ENABLED)
exaprod;CONTA_CORRENTE;DEBITO;Tabela para armazenamento da geração de debitos na base de dados da SEFAZ.;91996535;N;6;SEQ_PESSOA;NUMBER;22;Y;0;6;2907136;1;NO;Identificador único de instância de Pessoa no Cadastro.;FK_PES_R_DEB (FOREIGN KEY: ENABLED)
exaprod;CONTA_CORRENTE;DEBITO;Tabela para armazenamento da geração de debitos na base de dados da SEFAZ.;91996535;N;15;STA_DEBITO;NUMBER;22;N;0;3;10;0;NO;Campo com o status do débito.;SYS_C001517482 (C: ENABLED)
exaprod;CONTA_CORRENTE;DEBITO;Tabela para armazenamento da geração de debitos na base de dados da SEFAZ.;91996535;N;18;TIP_DEBITO;NUMBER;22;Y;0;2;3;91434262;NO;"Tipo de Origem do FECOP
1  Fecop Normal
2  Fecop ST"; (: )
exaprod;CONTA_CORRENTE;DEBITO;Tabela para armazenamento da geração de debitos na base de dados da SEFAZ.;91996535;N;9;TIP_ORIGEM_SISTEMA;NUMBER;22;N;0;3;7;0;NO;Coluna com o tipo de origem do débito.;SYS_C001517477 (C: ENABLED)
exaprod;CONTA_CORRENTE;DEBITO;Tabela para armazenamento da geração de debitos na base de dados da SEFAZ.;91996535;N;11;VLR_MULTA_ORIGINAL;NUMBER;22;Y;2;2;2136;91726817;NO;Campo com o valor original da multa.; (: )
exaprod;CONTA_CORRENTE;DEBITO;Tabela para armazenamento da geração de debitos na base de dados da SEFAZ.;91996535;N;10;VLR_PRINCIPAL_ORIGINAL;NUMBER;22;N;2;5;588160;0;NO;Campo com o valor original do débito.;SYS_C001517478 (C: ENABLED)
exaprod;CONTA_CORRENTE;DEBITO_AUD;Tabela de auditoria para armazenamento da geração de debitos na base de dados da SEFAZ.;13416234;N;15;COD_INDICADOR;NUMBER;22;Y;0;0;0;13416234;NO;Código do Indicador Financeiro; (: )
exaprod;CONTA_CORRENTE;DEBITO_AUD;Tabela de auditoria para armazenamento da geração de debitos na base de dados da SEFAZ.;13416234;N;16;COD_PRODUTO_SERVICO;NUMBER;22;Y;0;0;0;13416234;NO;Código de produto/serviço ( COD-PRODUTO-SERVICO ); (: )
exaprod;CONTA_CORRENTE;DEBITO_AUD;Tabela de auditoria para armazenamento da geração de debitos na base de dados da SEFAZ.;13416234;N;14;COD_RECEITA;NUMBER;22;Y;0;0;0;13416234;NO;Código da receita ( COD-RECEITA-CRD ); (: )
exaprod;CONTA_CORRENTE;DEBITO_AUD;Tabela de auditoria para armazenamento da geração de debitos na base de dados da SEFAZ.;13416234;N;4;DAT_CORRECAO;DATE;7;Y;;8;3971;204981;NO;Data para armazenamento da data de correção.; (: )
exaprod;CONTA_CORRENTE;DEBITO_AUD;Tabela de auditoria para armazenamento da geração de debitos na base de dados da SEFAZ.;13416234;N;8;DAT_INCLUSAO;DATE;7;Y;;8;3034;0;NO;Campo com a data de inclusão do débito.; (: )
exaprod;CONTA_CORRENTE;DEBITO_AUD;Tabela de auditoria para armazenamento da geração de debitos na base de dados da SEFAZ.;13416234;N;3;DAT_VENCIMENTO;DATE;7;Y;;8;3974;0;NO;Campo para armazenamento da data de vencimento do débito.; (: )
exaprod;CONTA_CORRENTE;DEBITO_AUD;Tabela de auditoria para armazenamento da geração de debitos na base de dados da SEFAZ.;13416234;N;10;NUM_ANO_REFERENCIA;NUMBER;22;Y;0;4;33;0;NO;Campo com o ano de referência do débito.; (: )
exaprod;CONTA_CORRENTE;DEBITO_AUD;Tabela de auditoria para armazenamento da geração de debitos na base de dados da SEFAZ.;13416234;N;18;NUM_DOCUMENTO_ORIGEM;VARCHAR2;50;Y;;17;2842112;532382;NO;"Número do documento no sistema de origem do Débito, definido no campo TIP_ORIGEM_SISTEMA.
Exemplos:
1 - IPVA - Número do Chassi
2 - ITCD - Guia do ITCD
3 - Auto de Infração - Número do Auto de Infração
7 - SISAGUA - Número do Pedido de impressão de selos
8 - COPAF - Sequencial do Parcelamento
9 - SISCOEX - Número da Declaração de Importação (DI)"; (: )
